p,cycle_length,sigma,total_roof,max_edge_weight_lower_bound,exact_expression
2,1,1,log(2),0.5,2^(-1/1)
2,1,2,log(2),0.25,2^(-2/1)
2,1,3,log(2),0.12500000000000003,2^(-3/1)
3,2,1,log(3),0.57735026918962573,3^(-1/2)
3,2,2,log(3),0.33333333333333331,3^(-2/2)
3,2,3,log(3),0.19245008972987526,3^(-3/2)
5,4,1,log(5),0.66874030497642201,5^(-1/4)
5,4,2,log(5),0.44721359549995798,5^(-2/4)
5,4,3,log(5),0.29906975624424414,5^(-3/4)
7,6,1,log(7),0.72302002639948382,7^(-1/6)
7,6,2,log(7),0.52275795857471019,7^(-2/6)
7,6,3,log(7),0.37796447300922725,7^(-3/6)
11,10,1,log(11),0.78679344219677227,11^(-1/10)
11,10,2,log(11),0.61904392068384551,11^(-2/10)
11,10,3,log(11),0.48705969722582848,11^(-3/10)
13,12,1,log(13),0.80755365539073998,13^(-1/12)
13,12,2,log(13),0.65214290633494598,13^(-2/12)
13,12,3,log(13),0.52664038784792655,13^(-3/12)
17,16,1,log(17),0.83771625473676026,17^(-1/16)
17,16,2,log(17),0.70176852345018459,17^(-2/16)
17,16,3,log(17),0.58788289915683489,17^(-3/16)
19,18,1,log(19),0.84909861655383179,19^(-1/18)
19,18,2,log(19),0.72096846063363118,19^(-2/18)
19,18,3,log(19),0.61217332250296197,19^(-3/18)
23,22,1,log(23),0.86716807369729754,23^(-1/22)
23,22,2,log(23),0.75198046803988161,23^(-2/22)
23,22,3,log(23),0.65209345392813634,23^(-3/22)
29,28,1,log(29),0.88668936608304394,29^(-1/28)
29,28,2,log(29),0.78621803192475026,29^(-2/28)
29,28,3,log(29),0.69713116833041522,29^(-3/28)
31,30,1,log(31),0.89184204636405295,31^(-1/30)
31,30,2,log(31),0.79538223566282162,31^(-2/30)
31,30,3,log(31),0.70935532069514629,31^(-3/30)
37,36,1,log(37),0.90456304475762916,37^(-1/36)
37,36,2,log(37),0.81823430194119273,37^(-2/36)
37,36,3,log(37),0.74014451148905858,37^(-3/36)
41,40,1,log(41),0.91133993933806468,41^(-1/40)
41,40,2,log(41),0.83054048503270728,41^(-2/40)
41,40,3,log(41),0.75690471524751424,41^(-3/40)
43,42,1,log(43),0.9143403673318925,43^(-1/42)
43,42,2,log(43),0.83601830733262017,43^(-2/42)
43,42,3,log(43),0.76440528622269488,43^(-3/42)
47,46,1,log(47),0.91970817448328313,47^(-1/46)
47,46,2,log(47),0.84586312621137327,47^(-2/46)
47,46,3,log(47),0.77794723167058499,47^(-3/46)
53,52,1,log(53),0.92649024001172164,53^(-1/52)
53,52,2,log(53),0.85838416483697766,53^(-2/52)
53,52,3,log(53),0.79528455090207273,53^(-3/52)
59,58,1,log(59),0.93211193486424959,59^(-1/58)
59,58,2,log(59),0.86883265911637497,59^(-2/58)
59,58,3,log(59),0.80984929096221525,59^(-3/58)
61,60,1,log(61),0.93377986005839364,61^(-1/60)
61,60,2,log(61),0.87194482705067333,61^(-2/60)
61,60,3,log(61),0.81420451858201803,61^(-3/60)
67,66,1,log(67),0.93827943996668284,67^(-1/66)
67,66,2,log(67),0.88036830746419192,67^(-2/66)
67,66,3,log(67),0.82603148249191849,67^(-3/66)
71,70,1,log(71),0.94092162980322147,71^(-1/70)
71,70,2,log(71),0.88533351343155053,71^(-2/70)
71,70,3,log(71),0.83302945237742676,71^(-3/70)
