power,finite_contribution_count,formal_flat_trace_s2,contributions,ordinary_operator_trace_owned
1,1,1/4,1/2^2,0
2,2,41/144,1/2^4;2/3^2,0
3,1,1/64,1/2^6,0
4,3,97769/518400,1/2^8;2/3^4;4/5^2,0
5,1,1/1024,1/2^10,0
6,3,18353033/146313216,1/2^12;2/3^6;6/7^2,0
7,1,1/16384,1/2^14,0
8,3,1805947409/268738560000,1/2^16;2/3^8;4/5^4,0
9,1,1/262144,1/2^18,0
10,3,619434542561/7492001071104,1/2^20;2/3^10;10/11^2,0
11,1,1/4194304,1/2^22,0
12,5,4169869054905603446081/56529330668568576000000,1/2^24;2/3^12;4/5^6;6/7^4;12/13^2,0
13,1,1/67108864,1/2^26,0
14,2,541653881/1283918464548864,1/2^28;2/3^14,0
15,1,1/1073741824,1/2^30,0
16,4,1155741318879916299987521/20871699539322470400000000,1/2^32;2/3^16;4/5^8;16/17^2,0
