left,right,transported_sum,transported_product,baseline_sum_index,baseline_product_index,matches
y_0,y_0,y_0,y_0,0,0,1
y_0,y_1,y_1,y_0,1,0,1
y_0,y_2,y_2,y_0,2,0,1
y_0,y_3,y_3,y_0,3,0,1
y_0,y_4,y_4,y_0,4,0,1
y_0,y_5,y_5,y_0,5,0,1
y_0,y_6,y_6,y_0,6,0,1
y_0,y_7,y_7,y_0,7,0,1
y_0,y_8,y_8,y_0,8,0,1
y_0,y_9,y_9,y_0,9,0,1
y_0,y_10,y_10,y_0,10,0,1
y_0,y_11,y_11,y_0,11,0,1
y_0,y_12,y_12,y_0,12,0,1
y_1,y_0,y_1,y_0,1,0,1
y_1,y_1,y_2,y_1,2,1,1
y_1,y_2,y_3,y_2,3,2,1
y_1,y_3,y_4,y_3,4,3,1
y_1,y_4,y_5,y_4,5,4,1
y_1,y_5,y_6,y_5,6,5,1
y_1,y_6,y_7,y_6,7,6,1
y_1,y_7,y_8,y_7,8,7,1
y_1,y_8,y_9,y_8,9,8,1
y_1,y_9,y_10,y_9,10,9,1
y_1,y_10,y_11,y_10,11,10,1
y_1,y_11,y_12,y_11,12,11,1
y_1,y_12,y_13,y_12,13,12,1
y_2,y_0,y_2,y_0,2,0,1
y_2,y_1,y_3,y_2,3,2,1
y_2,y_2,y_4,y_4,4,4,1
y_2,y_3,y_5,y_6,5,6,1
y_2,y_4,y_6,y_8,6,8,1
y_2,y_5,y_7,y_10,7,10,1
y_2,y_6,y_8,y_12,8,12,1
y_2,y_7,y_9,y_14,9,14,1
y_2,y_8,y_10,y_16,10,16,1
y_2,y_9,y_11,y_18,11,18,1
y_2,y_10,y_12,y_20,12,20,1
y_2,y_11,y_13,y_22,13,22,1
y_2,y_12,y_14,y_24,14,24,1
y_3,y_0,y_3,y_0,3,0,1
y_3,y_1,y_4,y_3,4,3,1
y_3,y_2,y_5,y_6,5,6,1
y_3,y_3,y_6,y_9,6,9,1
y_3,y_4,y_7,y_12,7,12,1
y_3,y_5,y_8,y_15,8,15,1
y_3,y_6,y_9,y_18,9,18,1
y_3,y_7,y_10,y_21,10,21,1
y_3,y_8,y_11,y_24,11,24,1
y_3,y_9,y_12,y_27,12,27,1
y_3,y_10,y_13,y_30,13,30,1
y_3,y_11,y_14,y_33,14,33,1
y_3,y_12,y_15,y_36,15,36,1
y_4,y_0,y_4,y_0,4,0,1
y_4,y_1,y_5,y_4,5,4,1
y_4,y_2,y_6,y_8,6,8,1
y_4,y_3,y_7,y_12,7,12,1
y_4,y_4,y_8,y_16,8,16,1
y_4,y_5,y_9,y_20,9,20,1
y_4,y_6,y_10,y_24,10,24,1
y_4,y_7,y_11,y_28,11,28,1
y_4,y_8,y_12,y_32,12,32,1
y_4,y_9,y_13,y_36,13,36,1
y_4,y_10,y_14,y_40,14,40,1
y_4,y_11,y_15,y_44,15,44,1
y_4,y_12,y_16,y_48,16,48,1
y_5,y_0,y_5,y_0,5,0,1
y_5,y_1,y_6,y_5,6,5,1
y_5,y_2,y_7,y_10,7,10,1
y_5,y_3,y_8,y_15,8,15,1
y_5,y_4,y_9,y_20,9,20,1
y_5,y_5,y_10,y_25,10,25,1
y_5,y_6,y_11,y_30,11,30,1
y_5,y_7,y_12,y_35,12,35,1
y_5,y_8,y_13,y_40,13,40,1
y_5,y_9,y_14,y_45,14,45,1
y_5,y_10,y_15,y_50,15,50,1
y_5,y_11,y_16,y_55,16,55,1
y_5,y_12,y_17,y_60,17,60,1
y_6,y_0,y_6,y_0,6,0,1
y_6,y_1,y_7,y_6,7,6,1
y_6,y_2,y_8,y_12,8,12,1
y_6,y_3,y_9,y_18,9,18,1
y_6,y_4,y_10,y_24,10,24,1
y_6,y_5,y_11,y_30,11,30,1
y_6,y_6,y_12,y_36,12,36,1
y_6,y_7,y_13,y_42,13,42,1
y_6,y_8,y_14,y_48,14,48,1
