sigma,cutoff,within_trace_norm_bound_numerator,within_trace_norm_bound_denominator,cross_trace_norm_bound_numerator,cross_trace_norm_bound_denominator,total_trace_norm_bound_numerator,total_trace_norm_bound_denominator,monotone_from_previous,primary_object,free_marker_preserved
3,16,13300538918701649,7799351335776000,74956897207824949,1155195352133222400,71573485156823221631,40431837324662784000,1,uninduced_projective_residue_graph,1
3,32,341022834977383481259136105462880809181,190098398829472049678367279552278400000,607000325855537226775829662738121985341909,9291575224158697852165042070733534412800000,9302147625499281107642820869742980421062879,5003155889931606535781176499625749299200000,1,uninduced_projective_residue_graph,1
3,64,150834258077682203985082288603385181800542830742997391404710592211834828295693,81970209878284060871436897441293417048547139507837247850012016374870105600000,37078262490367478363045953186752921358571966559841028692068070350322282487257793,566578090678699428743371835114220098639557828278171057139283057183102169907200000,251021775011231544363621188563904045097401537469295279721327059688101514919109,131731711387746902753632140226510136861092264189298083501344584325296947200000,1,uninduced_projective_residue_graph,1
3,128,667030594658344627473259367348259405807444837661144464190321369174899157800567241204526564042348902593289005862280101637187288917438700709141222560845538891751,357936387666928890795197600290858028466838127316053509265123058590036704084705050769329718036327990579962096614500041886121535299617698793974821698556160000000,28298929137275800717155164006139887927078948458225266683982334094994191227388505887447320892150313900835037010994446302643239476250665920199677481866349796939014903,432232190900871947337289721484407044559145403173260512496492695617280652055378793730899577815840249443496064414370008227359411436067286833526075512579289907200000000,14174312742060768465524288967024550063195286515993906226983698551713503097656641290567496658828880712046892046491543372818163537858350129569099384303204110062718501991,7347947245314823104733925265234919757505471853945428712440375825493771084941439493425292822869284240539433095044290139865109994413143876169943283713847928422400000000,1,uninduced_projective_residue_graph,1
3,192,273855573277916130805703610438968823663230917505009384113916922373383827255555144098913903376518623309083234338838743034333310929565158942291271536452870981036244260884715694243984284554679867350887761353110968167224460560902412812780899319,146335118743118150274910783477174606452153680507797086189964048879534165329832253124869996197241826880590783619328218144949065446027725932069740829381545174013244744128679533079094535441897218259943516364335286028154060686414230647040000000,1988825158430589659735515699402616634648635772508826887391829010492398250959354409044799926858113340131943203130427600901079200010909749738590650722611658230174321489748324645426990033907608123841386334723014994438330372557326966535385068657767181,30374394272795552620646505561888753320312505777286900596143296120835864727316810023981015453871525287181264196195203213851174849099197558523255439838937764490669816572665510967260323912101038985560269440861873475708824049958789721837184614400000000,964463992213347331680165361650619942372639449006580516772844325358370713788376737771736683901920819200537937296795589479607113274096651465088233353889800855483239459618688945085541046891988259590415616640955515474641806206687869044499845880793361,497940889717959879026991894457192677382172225857162304854808133128456798808472295475098613997893857166905970429429560882806145067199959975791072784244881385092947812666647720774759408395098999763283105587899565175554492622275241341593190400000000,1,uninduced_projective_residue_graph,1
4,16,3294019150483655652857,5621148494720478720000,2152630705588106813519521,174840202779785770106880000,104609802362231732239983649,174840202779785770106880000,1,uninduced_projective_residue_graph,1
4,32,178164797074523018049827565891115556837540307717106679,301959726093963689975222079525664688268720560640000000,3471798137023282107846816200400421458586200833583726690337,281764659612799398389679226846988233917308529544396800000000,13055456429477092362346301114209089988833216366966946999909,21674204585599953722283017449768325685946809964953600000000,1,uninduced_projective_residue_graph,1
4,64,57283593718368067496020125736468749178359309780986190649826149424248402164071224118374494674204514095329,96910664622053278761407404225007821067773958080767810346742838987204634753546921201001172191784960000000,1418263799153429373517340297922417235382380400388838472455862837870201725559786080373126375231168010894889459,115091810109984088789983879856922742902423390972778620788230680983669585721565076686826817558034304204800000000,763935439377458279095098939458138658855555132403950902265335362927137585363891615974830908713054874816711334769,1266009911209824976689822678426150171926657300700564828670537490820365442937215843555094993138377346252800000000,1,uninduced_projective_residue_graph,1
4,128,2826626931146561125617733504104987123859734515222533828027620503777543797582147533865804789773771091575894322174347861305338426650231156718738469577324330994099773331512694048267331512863572958015965361563977415501,4779795216996862464802259100446922407626054895285251063551215320825618793890609733828005400679017576404947135472557332730286658737499707181990032731994375640382133138695294190641980359438336108549627883520000000000,2617793293182334436299271388550621460654357349415944826372859106506767084569838359975001947749845087166058094238730995500928257527604514654174968521825131716783265838003721688434766608390880235441849961593588303129262801,212430577417779369490536413758327102422253530605826901469944375109070747519309799869203076346443448966338426105782942950782031978816979975848891255299990660873160798594150623382411572928410751298942360005115904000000000000,6155148616051123188193610765090781239216908331615392966488056864350025786843442613724664673545489802841418481401786168857054327136401740655414776906691807106609804381580187446141976032925563404401425803997076311184132957,10195826823119544206126685865689128617000787960794264939428304990390827565251385743351162001783777609962804221801556391007351361675035654456874048374121273678721720664835532146508620768953905430973482889904128000000000000,1,uninduced_projective_residue_graph,1
4,192,3858129435013790774288462204289223228007744895330199303550158197538625443628509429022750460723803697070509770457716627655559204294330369051956366889081982690192899471567331831024249102793390937268338959255263337977013222239414063331682643984883466219639907938019646120234316843832708767072983058594190349355018867298049671,6523490572078553131564283646218463488678546948480282405334558381275207408200517342331512277643941050697180884551894857560304017127687591773669839969985212285075138690079108642729764671439785104539389422965016265536768523186053919970057635266436817531201528863911526221721350810015073490724136787480155405345361920000000000,46446183533922387900464865224584408330659472991253511412204721499572207521145849722248212527709210000730142230266975691106833713490454547411978207119172440594695327798961427870579032905411607443106657955332591578915984145362871065790468612465967284293328669471531132502379612015542126855693284297302922133316334952890188417023623,3769043333282819033581478115658968261777081311934734251041556020527169314398024830444653886959770755154503080672200325948138694028855690813288235798267253951795935707980064623439609489623158455066727538195137996087855946680242889342018128330167427235807929103571102971975653295696354623323817129269659439864556687982592000000000000,220727149971098582571426326041890267917900299098986355989154998439730269097506748610745193744418171461045494461526739290290564477158774862522839081887262918791325715992328313714056926399106977142094322748263157218697471772938884062991821563244976894108608558099939544646776349108537249221154634192061162028268406129946904183202702631,365597203328433446257403377218919921392376887257669222351030933991135423496608408553131427035097763249986798825203431616969453320799002008888958872431923633324205763674066268473642120493446370141472571204928385620522026827983560266175758448026240441873369123046396988281638369682546398462410261539156965666861998734311424000000000000,1,uninduced_projective_residue_graph,1
