trial,seed,states,sampling_attempts,s_orbits,r_orbits,components,s2_killed_by_relation_quotient,r3_killed_by_relation_quotient,residual_betti,residual_nonzero
0,330000,12,1,7,4,1,1,1,2,1
1,330001,18,4,11,6,1,1,1,2,1
2,330002,24,7,13,10,1,1,1,2,1
3,330003,30,2,17,12,1,1,1,2,1
4,330004,36,1,19,16,1,1,1,2,1
5,330005,42,1,24,14,1,1,1,5,1
6,330006,48,4,26,18,1,1,1,5,1
7,330007,60,3,35,20,1,1,1,6,1
8,330008,72,7,40,24,1,1,1,9,1
9,330009,12,1,8,4,1,1,1,1,1
10,330010,18,3,11,6,1,1,1,2,1
11,330011,24,2,13,10,1,1,1,2,1
12,330012,30,1,16,12,1,1,1,3,1
13,330013,36,4,20,14,1,1,1,3,1
14,330014,42,1,23,16,1,1,1,4,1
15,330015,48,1,25,20,1,1,1,4,1
16,330016,60,1,34,22,1,1,1,5,1
17,330017,72,7,39,26,1,1,1,8,1
18,330018,12,3,7,4,1,1,1,2,1
19,330019,18,2,10,6,1,1,1,3,1
20,330020,24,2,14,8,1,1,1,3,1
21,330021,30,4,17,10,1,1,1,4,1
22,330022,36,3,19,14,1,1,1,4,1
23,330023,42,5,23,14,1,1,1,6,1
24,330024,48,4,28,18,1,1,1,3,1
25,330025,60,2,33,22,1,1,1,6,1
26,330026,72,6,41,26,1,1,1,6,1
27,330027,12,1,7,4,1,1,1,2,1
28,330028,18,2,9,6,1,1,1,4,1
29,330029,24,2,13,10,1,1,1,2,1
30,330030,30,1,16,10,1,1,1,5,1
31,330031,36,1,19,14,1,1,1,4,1
32,330032,42,1,23,16,1,1,1,4,1
33,330033,48,1,25,18,1,1,1,6,1
34,330034,60,2,31,24,1,1,1,6,1
35,330035,72,6,40,28,1,1,1,5,1
36,330036,12,1,6,6,1,1,1,1,1
37,330037,18,2,11,6,1,1,1,2,1
38,330038,24,1,15,8,1,1,1,2,1
39,330039,30,1,17,12,1,1,1,2,1
40,330040,36,2,21,12,1,1,1,4,1
41,330041,42,3,22,14,1,1,1,7,1
42,330042,48,1,26,18,1,1,1,5,1
43,330043,60,2,31,22,1,1,1,8,1
44,330044,72,7,40,26,1,1,1,7,1
45,330045,12,1,6,4,1,1,1,3,1
46,330046,18,1,10,6,1,1,1,3,1
47,330047,24,2,13,10,1,1,1,2,1
48,330048,30,3,18,12,1,1,1,1,1
49,330049,36,8,19,14,1,1,1,4,1
50,330050,42,4,23,16,1,1,1,4,1
51,330051,48,3,27,16,1,1,1,6,1
52,330052,60,1,32,22,1,1,1,7,1
53,330053,72,1,40,26,1,1,1,7,1
54,330054,12,3,6,6,1,1,1,1,1
55,330055,18,1,10,6,1,1,1,3,1
56,330056,24,1,13,8,1,1,1,4,1
57,330057,30,5,16,12,1,1,1,3,1
58,330058,36,4,20,14,1,1,1,3,1
59,330059,42,9,26,14,1,1,1,3,1
60,330060,48,3,28,18,1,1,1,3,1
61,330061,60,2,34,22,1,1,1,5,1
62,330062,72,2,38,28,1,1,1,7,1
63,330063,12,2,7,4,1,1,1,2,1
