kind,even_character,odd_character,superdimension,s2_relator_word_trace,r3_relator_word_trace,diamond_word_trace,kills_identity_cycle_words,s_norm_polynomial_zero,r_norm_polynomial_zero,kills_both_chain_norms,cusp_sr_value,cusp_sr_nonzero
honest_character,0,,1,1,1,1,0,0,0,0,t^0,1
honest_character,1,,1,1,1,1,0,1,1,1,t^5,1
honest_character,2,,1,1,1,1,0,0,1,0,t^4,1
honest_character,3,,1,1,1,1,0,1,0,0,t^3,1
honest_character,4,,1,1,1,1,0,0,1,0,t^2,1
honest_character,5,,1,1,1,1,0,1,1,1,t^1,1
zero_superdimension_difference,0,1,0,0,0,0,1,0,0,0,t^0-t^5,1
zero_superdimension_difference,0,2,0,0,0,0,1,1,0,0,t^0-t^4,1
zero_superdimension_difference,0,3,0,0,0,0,1,0,1,0,t^0-t^3,1
zero_superdimension_difference,0,4,0,0,0,0,1,1,0,0,t^0-t^2,1
zero_superdimension_difference,0,5,0,0,0,0,1,0,0,0,t^0-t^1,1
zero_superdimension_difference,1,2,0,0,0,0,1,0,1,0,t^5-t^4,1
zero_superdimension_difference,1,3,0,0,0,0,1,1,0,0,t^5-t^3,1
zero_superdimension_difference,1,4,0,0,0,0,1,0,1,0,t^5-t^2,1
zero_superdimension_difference,1,5,0,0,0,0,1,1,1,1,t^5-t^1,1
zero_superdimension_difference,2,3,0,0,0,0,1,0,0,0,t^4-t^3,1
zero_superdimension_difference,2,4,0,0,0,0,1,1,1,1,t^4-t^2,1
zero_superdimension_difference,2,5,0,0,0,0,1,0,1,0,t^4-t^1,1
zero_superdimension_difference,3,4,0,0,0,0,1,0,0,0,t^3-t^2,1
zero_superdimension_difference,3,5,0,0,0,0,1,1,0,0,t^3-t^1,1
zero_superdimension_difference,4,5,0,0,0,0,1,0,1,0,t^2-t^1,1
