vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
3,118,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,119,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,173,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,189,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,220,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,221,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,227,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,243,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,362,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,363,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,374,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,375,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,378,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,379,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,398,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,399,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,414,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,415,0>1;1>0,2>2,False,allow_SCC_paths_to_traverse_cycle_vertices
3,429,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,445,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,476,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,477,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,483,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
3,499,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,358,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,359,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,366,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,367,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,486,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,487,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,494,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,495,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,597,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,605,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,629,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,637,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,725,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,733,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,757,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,765,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,820,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,821,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,828,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,829,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,835,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,843,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,867,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,875,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,948,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,949,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,956,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,957,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,963,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,971,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
