value,cycle_length,weight,raw_polynomial,induced_polynomial,formal_equal,equal_at_z_one
2,4,1/4,1/1;0/1;0/1;0/1;-1/4,1/1;-1/4,False,True
3,4,1/9,1/1;0/1;0/1;0/1;-1/9,1/1;-1/9,False,True
4,6,1/16,1/1;0/1;0/1;0/1;0/1;0/1;-1/16,1/1;-1/16,False,True
5,6,1/25,1/1;0/1;0/1;0/1;0/1;0/1;-1/25,1/1;-1/25,False,True
6,6,1/36,1/1;0/1;0/1;0/1;0/1;0/1;-1/36,1/1;-1/36,False,True
7,6,1/49,1/1;0/1;0/1;0/1;0/1;0/1;-1/49,1/1;-1/49,False,True
8,8,1/64,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/64,1/1;-1/64,False,True
9,8,1/81,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/81,1/1;-1/81,False,True
10,8,1/100,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/100,1/1;-1/100,False,True
11,8,1/121,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/121,1/1;-1/121,False,True
12,8,1/144,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/144,1/1;-1/144,False,True
13,8,1/169,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/169,1/1;-1/169,False,True
14,8,1/196,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/196,1/1;-1/196,False,True
15,8,1/225,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/225,1/1;-1/225,False,True
16,10,1/256,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/256,1/1;-1/256,False,True
17,10,1/289,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/289,1/1;-1/289,False,True
18,10,1/324,1/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;-1/324,1/1;-1/324,False,True
