r,base_b,base_k,length,total_words,admissible_words,closed_words,freely_reduced_closed_words,cyclic_nb_closed_words,primitive_cyclic_nb_closed_words,relation_word_seen
4,0,0,1,4,2,0,0,0,0,False
4,0,0,2,16,6,2,0,0,0,False
4,0,0,3,64,17,0,0,0,0,False
4,0,0,4,256,54,8,0,0,0,False
4,0,0,5,1024,169,0,0,0,0,False
4,0,0,6,4096,558,41,0,0,0,False
4,0,0,7,16384,1839,2,2,2,2,True
4,0,0,8,65536,6238,244,2,2,2,False
4,2,1,1,4,3,0,0,0,0,False
4,2,1,2,16,10,3,0,0,0,False
4,2,1,3,64,32,0,0,0,0,False
4,2,1,4,256,106,16,0,0,0,False
4,2,1,5,1024,353,0,0,0,0,False
4,2,1,6,4096,1194,102,0,0,0,False
4,2,1,7,16384,4079,4,4,4,4,True
4,2,1,8,65536,14064,718,6,6,6,False
2,0,0,1,4,2,0,0,0,0,False
2,0,0,2,16,6,2,0,0,0,False
2,0,0,3,64,17,0,0,0,0,False
2,0,0,4,256,55,8,0,0,0,False
2,0,0,5,1024,174,2,2,2,2,True
2,0,0,6,4096,584,41,0,0,0,False
2,0,0,7,16384,1952,28,4,0,0,False
2,0,0,8,65536,6719,249,6,6,6,False
2,2,1,1,4,4,0,0,0,0,False
2,2,1,2,16,13,4,0,0,0,False
2,2,1,3,64,45,0,0,0,0,False
2,2,1,4,256,149,25,0,0,0,False
2,2,1,5,1024,518,8,8,8,8,True
2,2,1,6,4096,1767,177,0,0,0,False
2,2,1,7,16384,6212,138,8,0,0,False
2,2,1,8,65536,21678,1369,30,30,30,False
3,0,0,1,4,2,0,0,0,0,False
3,0,0,2,16,6,2,0,0,0,False
3,0,0,3,64,17,0,0,0,0,False
3,0,0,4,256,54,8,0,0,0,False
3,0,0,5,1024,170,0,0,0,0,False
3,0,0,6,4096,562,43,2,2,2,True
3,0,0,7,16384,1862,0,0,0,0,False
3,0,0,8,65536,6331,276,6,2,2,False
3,2,1,1,4,3,0,0,0,0,False
3,2,1,2,16,10,3,0,0,0,False
3,2,1,3,64,32,0,0,0,0,False
3,2,1,4,256,107,16,0,0,0,False
3,2,1,5,1024,357,0,0,0,0,False
3,2,1,6,4096,1217,106,4,4,4,True
3,2,1,7,16384,4170,0,0,0,0,False
3,2,1,8,65536,14467,799,16,6,6,False
5,0,0,1,4,2,0,0,0,0,False
5,0,0,2,16,6,2,0,0,0,False
5,0,0,3,64,17,0,0,0,0,False
5,0,0,4,256,54,8,0,0,0,False
5,0,0,5,1024,169,0,0,0,0,False
5,0,0,6,4096,557,41,0,0,0,False
5,0,0,7,16384,1835,0,0,0,0,False
5,0,0,8,65536,6213,246,4,4,4,True
5,2,1,1,4,3,0,0,0,0,False
5,2,1,2,16,10,3,0,0,0,False
5,2,1,3,64,32,0,0,0,0,False
5,2,1,4,256,106,16,0,0,0,False
5,2,1,5,1024,352,0,0,0,0,False
5,2,1,6,4096,1190,102,0,0,0,False
5,2,1,7,16384,4054,0,0,0,0,False
5,2,1,8,65536,13967,722,10,10,10,True
