evidence_class,case,metric,value,control_or_baseline
identity_words,r=2,first_excess_length,5,exponent_control
identity_words,r=2,first_excess_count,10,exponent_control
identity_words,r=3,first_excess_length,6,exponent_control
identity_words,r=3,first_excess_count,12,exponent_control
identity_words,r=4,first_excess_length,7,baseline
identity_words,r=4,first_excess_count,14,baseline
identity_words,r=5,first_excess_length,8,exponent_control
identity_words,r=5,first_excess_count,32,exponent_control
marker,r=1,unit_step_marker_descends,true,balanced_control
marker,r=2,unit_step_marker_descends,false,exponent_control
marker,r=3,unit_step_marker_descends,false,exponent_control
marker,r=4,unit_step_marker_descends,false,baseline
marker,r=5,unit_step_marker_descends,false,exponent_control
finite_chain,"r=1,q=4,t=3",h1_affine_to_complete,2->0,finite_control
finite_chain,"r=2,q=3,t=2",h1_affine_to_complete,1->0,finite_control
finite_chain,"r=3,q=4,t=2",h1_affine_to_complete,1->0,finite_control
finite_chain,"r=4,q=5,t=2",h1_affine_to_complete,1->0,finite_control
finite_chain,"r=4,q=7,t=3",h1_affine_to_complete,1->0,finite_control
finite_chain,"r=5,q=6,t=2",h1_affine_to_complete,1->0,finite_control
generic_chain_lift,two_generator_one_relator,euler_multiplier,0,matched_generic
