control_id,relator_1,relator_2,all_direct_factors_cancel,mixed_leak_after_direct_hit
P00,uvUvuv,vUvuuv,false,false
P01,UVVuvvUU,uvUvvv,true,true
P02,VUUvvvvvU,uvUUvUV,false,false
P03,VuuuVVU,UUVVUUV,false,false
P04,vUUUVuuvv,uVUUUVuuV,false,false
P05,UVVVuV,vvuuvvvu,false,true
P06,uvvvvvUV,uvUVuuvuv,false,true
P07,vUUVUVUvuv,vuVUVUvvv,false,false
P08,vUVuVuvu,vUvUvvUv,false,true
P09,uuVuvvUVUv,uVVUVVUvv,false,false
P10,uvuVUVVu,UVVuvvvv,false,true
P11,uvvuV,uVuVUVu,false,false
P12,vUVuv,UVVuvU,false,true
P13,vuvuuvUv,uVVUVVUV,false,false
P14,uvuuVUvUVu,VVuvU,true,true
P15,uVuuuvUVV,UvvuVVuv,false,false
P16,vvvvvUU,Vuuuvvvvuu,false,false
P17,vUVUvvuVUv,vUUVUUvv,false,false
P18,vuVuVuVVUU,uuvUVUV,false,false
P19,vvUVuuvvu,UVVVuVVU,false,false
P20,uVUvUv,vvuuVVVu,false,false
P21,VUvuuVuu,VVVuvUU,false,false
P22,UVVVVVUVU,VuvUVVVuV,false,false
P23,vUvvUvu,uuvuu,false,false
