control_id,relator,direct_factor_cancels,mixed_evaluated,mixed_leak_exists,shortest_mixed_word,first_supertrace
R00,uvUvuv,false,false,false,,
R01,vUvuuv,false,false,false,,
R02,UVVuvvUU,true,true,true,UUUVUUUVVuvuvv,12288
R03,uvUvvv,true,true,true,UUVVVuvvuv,1536
R04,VUUvvvvvU,false,false,false,,
R05,uvUUvUV,false,false,false,,
R06,VuuuVVU,false,false,false,,
R07,UUVVUUV,false,false,false,,
R08,vUUUVuuvv,false,false,false,,
R09,uVUUUVuuV,false,false,false,,
R10,UVVVuV,true,true,true,UUVVVuvvuv,1536
R11,vvuuvvvu,false,false,false,,
R12,uvvvvvUV,true,true,true,UUVuvvvvuvvvvv,5120
R13,uvUVuuvuv,false,false,false,,
R14,vUUVUVUvuv,false,false,false,,
R15,vuVUVUvvv,false,false,false,,
R16,vUVuVuvu,true,true,true,UUVUvUvvuVUV,-6144
R17,vUvUvvUv,false,false,false,,
R18,uuVuvvUVUv,false,false,false,,
R19,uVVUVVUvv,false,false,false,,
R20,uvuVUVVu,false,false,false,,
R21,UVVuvvvv,true,true,true,UUVVuvvuvvvv,4096
R22,uvvuV,false,false,false,,
R23,uVuVUVu,false,false,false,,
R24,vUVuv,true,true,true,UUVuvuvv,512
R25,UVVuvU,false,false,false,,
R26,vuvuuvUv,false,false,false,,
R27,uVVUVVUV,false,false,false,,
R28,uvuuVUvUVu,true,true,true,UUVVUvUVuuvvuVuv,-47616
R29,VVuvU,true,true,true,UUVVuVuv,-512
R30,uVuuuvUVV,false,false,false,,
R31,UvvuVVuv,false,false,false,,
R32,vvvvvUU,false,false,false,,
R33,Vuuuvvvvuu,false,false,false,,
R34,vUVUvvuVUv,false,false,false,,
R35,vUUVUUvv,false,false,false,,
R36,vuVuVuVVUU,false,false,false,,
R37,uuvUVUV,false,false,false,,
R38,vvUVuuvvu,false,false,false,,
R39,UVVVuVVU,false,false,false,,
R40,uVUvUv,false,false,false,,
R41,vvuuVVVu,false,false,false,,
R42,VUvuuVuu,false,false,false,,
R43,VVVuvUU,false,false,false,,
R44,UVVVVVUVU,false,false,false,,
R45,VuvUVVVuV,false,false,false,,
R46,vUvvUvu,false,false,false,,
R47,uuvuu,false,false,false,,
