control_id,parsed_p,parsed_q,ascending,balanced,tree_degree,infinite_vertex_stabilizer,full_tree_closed_ledger_empty,full_tree_fredholm_owned
GBS_1_1,1,1,true,true,2,true,true,false
GBS_1_2,1,2,true,false,3,true,true,false
GBS_1_3,1,3,true,false,4,true,true,false
GBS_1_4,1,4,true,false,5,true,true,false
GBS_1_5,1,5,true,false,6,true,true,false
GBS_1_6,1,6,true,false,7,true,true,false
GBS_1_7,1,7,true,false,8,true,true,false
GBS_1_8,1,8,true,false,9,true,true,false
GBS_2_1,2,1,true,false,3,true,true,false
GBS_3_1,3,1,true,false,4,true,true,false
GBS_4_1,4,1,true,false,5,true,true,false
GBS_2_2,2,2,false,true,4,true,true,false
GBS_2_3,2,3,false,false,5,true,true,false
GBS_2_5,2,5,false,false,7,true,true,false
GBS_3_4,3,4,false,false,7,true,true,false
GBS_3_5,3,5,false,false,8,true,true,false
GBS_4_6,4,6,false,false,10,true,true,false
GBS_5_7,5,7,false,false,12,true,true,false
