r,name,word,old_generator_marker_length,bass_serre_translation_length,height,markers_compatible
1,stable_letter,v,1,1,1,false
1,elliptic_base,uuu,3,0,0,false
1,same_tree_step_a,v,1,1,1,false
1,same_tree_step_b,uuv,3,1,1,false
1,defining_relator,vuVU,4,0,0,false
1,stable_power,vv,2,2,2,false
2,stable_letter,v,1,1,1,false
2,elliptic_base,uuuu,4,0,0,false
2,same_tree_step_a,v,1,1,1,false
2,same_tree_step_b,uuuv,4,1,1,false
2,defining_relator,vuVUU,5,0,0,false
2,stable_power,vvv,3,3,3,false
4,stable_letter,v,1,1,1,false
4,elliptic_base,uuuuuu,6,0,0,false
4,same_tree_step_a,v,1,1,1,false
4,same_tree_step_b,uuuuuv,6,1,1,false
4,defining_relator,vuVUUUU,7,0,0,false
4,stable_power,vvvvv,5,5,5,false
5,stable_letter,v,1,1,1,false
5,elliptic_base,uuuuuuu,7,0,0,false
5,same_tree_step_a,v,1,1,1,false
5,same_tree_step_b,uuuuuuv,7,1,1,false
5,defining_relator,vuVUUUUU,8,0,0,false
5,stable_power,vvvvvv,6,6,6,false
6,stable_letter,v,1,1,1,false
6,elliptic_base,uuuuuuuu,8,0,0,false
6,same_tree_step_a,v,1,1,1,false
6,same_tree_step_b,uuuuuuuv,8,1,1,false
6,defining_relator,vuVUUUUUU,9,0,0,false
6,stable_power,vvvvvvv,7,7,7,false
