r,declared_class,tree_degree,aut_tree_image_discrete,bass_serre_action_faithful,action_kernel,action_proper,finite_stabilizer_hypotheses_met,full_tree_closed_paths,hashimoto_compact,hashimoto_trace_class,ordinary_fredholm_owned,orbital_ledger,source_selective
1,balanced_control,2,true,false,infinite_cyclic,false,false,0,false,false,false,DIVERGENT_AT_EVERY_POSITIVE_HEIGHT,false
2,prime_control,3,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
3,prime_control,4,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
4,composite_baseline,5,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
5,prime_control,6,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
6,composite_control,7,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
7,prime_control,8,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
8,composite_control,9,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
9,composite_control,10,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
10,composite_control,11,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
12,composite_control,13,false,true,trivial,false,false,0,false,false,false,FINITE_BUT_GENERIC_NECKLACE_LEDGER,false
