digit_min,digit_max,word_max,primitive_necklaces,even_orbit_count,odd_orbit_count,self_reversal_count,reversal_pair_count,trace_collision_group_count,trace_collision_orbit_excess,nonreversal_collision_group_count,nonreversal_collision_class_excess,cyclic_invariance_failures,reversal_transpose_failures,repetition_matrix_failures,missing_reverse_orbits,roof_min,roof_max,intrinsic_sum_1d25p0j_re,intrinsic_sum_1d25p0j_im,intrinsic_sum_1d5p0j_re,intrinsic_sum_1d5p0j_im,intrinsic_sum_2p0j_re,intrinsic_sum_2p0j_im,intrinsic_sum_1d5p1j_re,intrinsic_sum_1d5p1j_im,additive_control_sum_1d25p0j_re,additive_control_sum_1d25p0j_im,additive_control_sum_1d5p0j_re,additive_control_sum_1d5p0j_im,additive_control_sum_2p0j_re,additive_control_sum_2p0j_im,additive_control_sum_1d5p1j_re,additive_control_sum_1d5p1j_im,successive_word_cutoff_drift_1d25p0j,successive_word_cutoff_drift_1d5p0j,successive_word_cutoff_drift_2p0j,successive_word_cutoff_drift_1d5p1j,successive_digit_cutoff_drift_1d25p0j,successive_digit_cutoff_drift_1d5p0j,successive_digit_cutoff_drift_2p0j,successive_digit_cutoff_drift_1d5p1j
1,2,4,8,4,4,8,0,0,0,0,0,0,0,0,0,0.9624236501192069,6.177939809689206,0.46731868445245467,0.0,0.33339558042398254,0.0,0.18145730327324747,0.0,0.10056348906798136,-0.26826708008849137,0.25552877067826957,0.0,0.1675169602258294,0.0,0.07567876230689884,0.0,-0.0025833212798968344,-0.15028908695502344,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
1,2,6,23,13,10,21,1,1,1,0,0,0,0,0,0,0.9624236501192069,9.703938446349348,0.4700335179188628,0.0,0.3339582190272761,0.0,0.18148383784643513,0.0,0.10099691088616178,-0.26821316871163126,0.25568111524573517,0.0,0.16753534899042977,0.0,0.07567905926400362,0.0,-0.00258921672804873,-0.15030176900486208,0.0027148334664081064,0.000562638603293586,2.6534573187658728e-05,0.0004367618447503979,not_applicable,not_applicable,not_applicable,not_applicable
1,2,8,71,43,28,53,9,9,9,0,0,0,0,0,0,0.9624236501192069,13.229447606610774,0.47041730404845394,0.0,0.3340035355910118,0.0,0.18148456172921956,0.0,0.10098211094171432,-0.2682407175114003,0.25568829868183096,0.0,0.1675357488186528,0.0,0.07567906070060583,0.0,-0.0025891327616868963,-0.1503015135954628,0.0003837861295911682,4.531656373568671e-05,7.238827844369133e-07,3.1272587426711564e-05,not_applicable,not_applicable,not_applicable,not_applicable
1,3,4,32,21,11,24,4,4,4,0,0,0,0,0,0,0.9624236501192069,8.908424121205423,0.5594689022123198,0.0,0.37686579202377246,0.0,0.1924331763325206,0.0,0.07056308970470049,-0.2822324456446198,0.296869074411634,0.0,0.1861982330318777,0.0,0.07990214213214834,0.0,-0.017656478917289352,-0.15364951045054315,not_applicable,not_applicable,not_applicable,not_applicable,0.09215021775986515,0.04347021159978992,0.010975873059273139,0.033091621251800915
1,3,6,196,137,59,90,53,57,58,5,5,0,0,0,0,0.9624236501192069,13.687497624878338,0.5654613123513592,0.0,0.37793529429185274,0.0,0.1924741425979841,0.0,0.07118590089510426,-0.2824314516018251,0.29719227114208674,0.0,0.18623186665338046,0.0,0.07990258547926597,0.0,-0.017671602174266797,-0.15366272310926854,0.005992410139039395,0.0010695022680802801,4.0966265463487916e-05,0.0006538326619979788,0.09542779443249644,0.043977075264576615,0.010990304751548968,0.033028107500014434
1,3,8,1318,947,371,312,503,496,572,63,69,0,0,0,0,0.9624236501192069,18.466550667414033,0.5665084175198172,0.0,0.3780360695045438,0.0,0.19247535813118397,0.0,0.07114233234234603,-0.2824544076517245,0.29721085370831646,0.0,0.18623270965870864,0.0,0.07990258778124787,0.0,-0.017671295378019838,-0.1536624736723171,0.0010471051684579624,0.00010077521269108436,1.2155331998719987e-06,4.924630967323934e-05,0.09609111347136323,0.04403253391353201,0.010990796401964403,0.03305210090545635
1,4,4,90,66,24,52,19,23,23,4,4,0,0,0,0,0.9624236501192069,11.042889834956465,0.6148175751795268,0.0,0.3992327381465915,0.0,0.19672295961780334,0.0,0.054430098712536776,-0.28094863719160984,0.3214307331322312,0.0,0.1959308409844259,0.0,0.08163907018703284,0.0,-0.025246401705252056,-0.15186438307563696,not_applicable,not_applicable,not_applicable,not_applicable,0.055348672967207024,0.02236694612281903,0.004289783285282733,0.016183990932315036
1,4,6,964,736,228,250,357,352,448,75,91,0,0,0,0,0.9624236501192069,16.817433330777448,0.6236211133704924,0.0,0.40065520974593866,0.0,0.19677104904785464,0.0,0.055042135026494514,-0.28132877108261084,0.3218971699469256,0.0,0.195974771039683,0.0,0.0816395827049762,0.0,-0.025265520311609564,-0.1518744152852497,0.008803538190965576,0.0014224715993471637,4.8089430051301285e-05,0.0007204791632591015,0.058159801019133206,0.022719915454085915,0.004296906449870547,0.016181380681139165
1,4,8,11464,8896,2568,1102,5181,4039,6885,1230,1704,0,0,0,0,0.9624236501192069,22.591975236446398,0.6253496867689475,0.0,0.400800327526246,0.0,0.19677252740565665,0.0,0.05498876750021598,-0.28133679366808095,0.3219271186756918,0.0,0.19597595451161332,0.0,0.08163958544489136,0.0,-0.025265132421951105,-0.15187426619072103,0.0017285733984551133,0.00014511778030734668,1.4783578020094446e-06,5.396716352297209e-05,0.05884126924913036,0.022764258021702177,0.004297169274472684,0.016192180771141842
1,5,4,205,160,45,95,55,63,72,16,17,0,0,0,0,0.9624236501192069,12.767007563023352,0.6507172174393092,0.0,0.4121042997429401,0.0,0.1987117142435251,0.0,0.04638722865533949,-0.27671562240880715,0.3373428753291044,0.0,0.20161415171684344,0.0,0.08247810961303871,0.0,-0.028957344156553547,-0.1493560451498343,not_applicable,not_applicable,not_applicable,not_applicable,0.03589964225978237,0.012871561596348613,0.0019887546257217614,0.009088793809322931
